sample,pop
DNAA025_A01,Ch_Sal_P
DNAA025_A02,Ch_Sal_P
DNAA025_A03,Ch_Sal_P
DNAA025_A04,Ch_Sal_M
DNAA025_A05,Ch_Sal_M
DNAA025_A06,Ch_Nor_P
DNAA025_A07,Ch_Nor_P
DNAA025_A08,Ch_Nor_P
DNAA025_A09,Ch_Sou_M
DNAA025_A10,Ch_Sou_M
DNAA025_A11,Ch_Sou_M
DNAA025_A12,Ch_Sou_P
DNAA025_B01,Ch_Sal_P
DNAA025_B02,Ch_Sal_P
DNAA025_B03,Ch_Sal_P
DNAA025_B04,Ch_Sal_M
DNAA025_B05,Ch_Sal_M
DNAA025_B06,Ch_Nor_P
DNAA025_B07,Ch_Nor_P
DNAA025_B08,Ch_Nor_P
DNAA025_B09,Ch_Sou_M
DNAA025_B10,Ch_Sou_M
DNAA025_B11,Ch_Sou_M
DNAA025_B12,Ch_Sou_P
DNAA025_C01,Ch_Sal_P
DNAA025_C02,Ch_Sal_P
DNAA025_C03,Ch_Sal_P
DNAA025_C04,Ch_Sal_M
DNAA025_C05,Ch_Sal_M
DNAA025_C06,Ch_Nor_P
DNAA025_C07,Ch_Nor_P
DNAA025_C08,Ch_Nor_P
DNAA025_C09,Ch_Sou_M
DNAA025_C10,Ch_Sou_M
DNAA025_C11,Ch_Sou_M
DNAA025_C12,Ch_Sou_P
DNAA025_D01,Ch_Sal_P
DNAA025_D02,Ch_Sal_P
DNAA025_D03,Ch_Sal_P
DNAA025_D04,Ch_Sal_M
DNAA025_D05,Ch_Sal_M
DNAA025_D06,Ch_Nor_P
DNAA025_D07,Ch_Nor_P
DNAA025_D08,Ch_Nor_P
DNAA025_D09,Ch_Sou_M
DNAA025_D10,Ch_Sou_M
DNAA025_D11,Ch_Sou_M
DNAA025_D12,Ch_Sou_P
DNAA025_E01,Ch_Sal_P
DNAA025_E02,Ch_Sal_P
DNAA025_E03,Ch_Sal_M
DNAA025_E04,Ch_Sal_M
DNAA025_E05,Ch_Sal_M
DNAA025_E06,Ch_Nor_P
DNAA025_E07,Ch_Nor_P
DNAA025_E08,Ch_Nor_P
DNAA025_E09,Ch_Sou_M
DNAA025_E10,Ch_Sou_M
DNAA025_E11,Ch_Sou_M
DNAA025_E12,Ch_Sou_P
DNAA025_F01,Ch_Sal_P
DNAA025_F02,Ch_Sal_P
DNAA025_F03,Ch_Sal_M
DNAA025_F04,Ch_Sal_M
DNAA025_F05,Ch_Sal_M
DNAA025_F06,Ch_Nor_P
DNAA025_F07,Ch_Nor_P
DNAA025_F08,Ch_Nor_P
DNAA025_F09,Ch_Sou_M
DNAA025_F10,Ch_Sou_M
DNAA025_F11,Ch_Sou_M
DNAA025_F12,Ch_Sou_P
DNAA025_G01,Ch_Sal_P
DNAA025_G02,Ch_Sal_P
DNAA025_G03,Ch_Sal_M
DNAA025_G04,Ch_Sal_M
DNAA025_G05,Ch_Sal_M
DNAA025_G06,Ch_Nor_P
DNAA025_G07,Ch_Nor_P
DNAA025_G08,Ch_Nor_P
DNAA025_G09,Ch_Sou_M
DNAA025_G10,Ch_Sou_M
DNAA025_G11,Ch_Sou_M
DNAA025_G12,Ch_Sou_P
DNAA025_H01,Ch_Sal_P
DNAA025_H02,Ch_Sal_P
DNAA025_H03,Ch_Sal_M
DNAA025_H04,Ch_Sal_M
DNAA025_H05,Ch_Sal_M
DNAA025_H06,Ch_Nor_P
DNAA025_H07,Ch_Nor_P
DNAA025_H08,Ch_Nor_P
DNAA025_H09,Ch_Sou_M
DNAA025_H10,Ch_Sou_M
DNAA025_H11,Ch_Sou_M
DNAA025_H12,Ch_Sou_P
DNAA034_A01,Ch_Tri_M
DNAA034_A02,Ch_Tri_M
DNAA034_A03,Ch_Tri_M
DNAA034_A04,Ch_Tri_M
DNAA034_B02,Ch_Tri_M
DNAA034_B03,Ch_Tri_M
DNAA034_C01,Ch_Tri_M
DNAA034_C02,Ch_Tri_M
DNAA034_C03,Ch_Tri_M
DNAA034_C04,Ch_Tri_M
DNAA034_D01,Ch_Tri_M
DNAA034_D02,Ch_Tri_M
DNAA034_D03,Ch_Tri_M
DNAA034_D04,Ch_Tri_M
DNAA034_E01,Ch_Tri_M
DNAA034_E02,Ch_Tri_M
DNAA034_E03,Ch_Tri_M
DNAA034_F01,Ch_Tri_M
DNAA034_F02,Ch_Tri_M
DNAA034_F04,Ch_Tri_M
DNAA034_G01,Ch_Tri_M
DNAA034_G02,Ch_Tri_M
DNAA034_G03,Ch_Tri_M
DNAA034_G04,Ch_Tri_M
DNAA034_H01,Ch_Tri_M
DNAA034_H02,Ch_Tri_M
DNAA034_H03,Ch_Tri_M
DNAA034_H04,Ch_Tri_M
DNAA035_A01,Ch_Tri_P
DNAA035_A03,Ch_Tri_P
DNAA035_A04,Ch_Tri_P
DNAA035_B01,Ch_Tri_P
DNAA035_B02,Ch_Tri_P
DNAA035_B03,Ch_Tri_P
DNAA035_B04,Ch_Tri_P
DNAA035_C01,Ch_Tri_P
DNAA035_C02,Ch_Tri_P
DNAA035_C03,Ch_Tri_P
DNAA035_C04,Ch_Tri_P
DNAA035_D01,Ch_Tri_P
DNAA035_D02,Ch_Tri_P
DNAA035_D03,Ch_Tri_P
DNAA035_D04,Ch_Tri_P
DNAA035_E01,Ch_Tri_P
DNAA035_E02,Ch_Tri_P
DNAA035_E03,Ch_Tri_P
DNAA035_E04,Ch_Tri_P
DNAA035_F01,Ch_Tri_P
DNAA035_F02,Ch_Tri_P
DNAA035_F03,Ch_Tri_P
DNAA035_F04,Ch_Tri_P
DNAA035_G02,Ch_Tri_P
DNAA035_G03,Ch_Tri_P
DNAA035_G04,Ch_Tri_P
DNAA035_H01,Ch_Tri_P
DNAA035_H02,Ch_Tri_P
DNAA035_H03,Ch_Tri_P
DNAA035_H04,Ch_Tri_P
DNAA051_A01,Ch_Sil_M
DNAA051_A02,Ch_Rog_M
DNAA051_A03,Ch_Rog_M
DNAA051_A04,Ch_Rog_P
DNAA051_A05,Ch_Rog_P
DNAA051_A06,Ch_Puy_M
DNAA051_A07,Ch_Puy_M
DNAA051_A08,Ch_Puy_M
DNAA051_A09,Ch_Puy_P
DNAA051_A10,Ch_Puy_P
DNAA051_A11,Ch_Puy_P
DNAA051_A12,Ch_Noo_P
DNAA051_B01,Ch_Sil_M
DNAA051_B02,Ch_Rog_M
DNAA051_B03,Ch_Rog_M
DNAA051_B04,Ch_Rog_P
DNAA051_B05,Ch_Rog_P
DNAA051_B06,Ch_Puy_M
DNAA051_B07,Ch_Puy_M
DNAA051_B08,Ch_Puy_M
DNAA051_B09,Ch_Puy_P
DNAA051_B10,Ch_Puy_P
DNAA051_B11,Ch_Puy_P
DNAA051_B12,Ch_Noo_P
DNAA051_C01,Ch_Sil_M
DNAA051_C02,Ch_Rog_M
DNAA051_C03,Ch_Rog_M
DNAA051_C04,Ch_Rog_P
DNAA051_C05,Ch_Rog_P
DNAA051_C06,Ch_Puy_M
DNAA051_C07,Ch_Puy_M
DNAA051_C08,Ch_Puy_M
DNAA051_C09,Ch_Puy_P
DNAA051_C10,Ch_Puy_P
DNAA051_C11,Ch_Puy_P
DNAA051_C12,Ch_Noo_P
DNAA051_D01,Ch_Sil_M
DNAA051_D02,Ch_Rog_M
DNAA051_D03,Ch_Rog_M
DNAA051_D04,Ch_Rog_P
DNAA051_D05,Ch_Rog_P
DNAA051_D06,Ch_Puy_M
DNAA051_D07,Ch_Puy_M
DNAA051_D08,Ch_Puy_M
DNAA051_D09,Ch_Puy_P
DNAA051_D10,Ch_Puy_P
DNAA051_D11,Ch_Puy_P
DNAA051_D12,Ch_Noo_P
DNAA051_E01,Ch_Sil_P
DNAA051_E02,Ch_Rog_M
DNAA051_E03,Ch_Rog_M
DNAA051_E04,Ch_Rog_P
DNAA051_E05,Ch_Rog_P
DNAA051_E06,Ch_Puy_M
DNAA051_E07,Ch_Puy_M
DNAA051_E08,Ch_Puy_M
DNAA051_E09,Ch_Puy_P
DNAA051_E10,Ch_Puy_P
DNAA051_E11,Ch_Noo_M
DNAA051_E12,Ch_Eel_M
DNAA051_F01,Ch_Sil_P
DNAA051_F02,Ch_Rog_M
DNAA051_F03,Ch_Rog_M
DNAA051_F04,Ch_Rog_P
DNAA051_F05,Ch_Rog_P
DNAA051_F06,Ch_Puy_M
DNAA051_F07,Ch_Puy_M
DNAA051_F08,Ch_Puy_M
DNAA051_F09,Ch_Puy_P
DNAA051_F10,Ch_Puy_P
DNAA051_F11,Ch_Noo_M
DNAA051_F12,Ch_Eel_M
DNAA051_G01,Ch_Sil_P
DNAA051_G02,Ch_Rog_M
DNAA051_G03,Ch_Rog_M
DNAA051_G04,Ch_Rog_P
DNAA051_G05,Ch_Rog_P
DNAA051_G06,Ch_Puy_M
DNAA051_G07,Ch_Puy_M
DNAA051_G08,Ch_Puy_P
DNAA051_G09,Ch_Puy_P
DNAA051_G10,Ch_Puy_P
DNAA051_G11,Ch_Noo_M
DNAA051_G12,Ch_Eel_M
DNAA051_H01,Ch_Sil_P
DNAA051_H02,Ch_Rog_M
DNAA051_H03,Ch_Rog_M
DNAA051_H04,Ch_Rog_P
DNAA051_H05,Ch_Rog_P
DNAA051_H06,Ch_Puy_M
DNAA051_H07,Ch_Puy_M
DNAA051_H08,Ch_Puy_P
DNAA051_H09,Ch_Puy_P
DNAA051_H10,Ch_Puy_P
DNAA051_H11,Ch_Noo_M
DNAA051_H12,Ch_Eel_M
